,Streambed Embeddedness (%),Prediction,Residual,Residual_Abs,Site ID,Unique ID,Latitude,Longitude,Collection Date,Bankfull Shear Velocity (m/s) (QT),Soil Bulk Density (QT),Avg Watershed Elev (QT),Hydraulic Conductivity (QT),% Evergreen Forest (CBRT),% Crop Land (CBRT),% Deciduous Forest (CBRT),% Hay (CBRT),Impervious Surface (YJ),Annual Runoff (QT),CTI Wetness Index (QT),Atlantic Plain Division,Interior Highlands Division,Interior Plains Division,Intermontane Plateaus Division,Laurentian Upland Division,Pacific Mountain Division,Rocky Mountain Division,text
344,44.10909091,58.92789116717347,-14.818800257173471,14.818800257173471,NRS18_AZ_12037,2013636,32.91215,-110.47737,2019-05-07,0.5830888241023464,-0.3251636316684926,0.6655117902249696,0.963956694319499,2.546540427080548,0.1566943082860618,0.0,0.0,-1.03542085449304,-1.208520710719311,-1.015025541545802,False,False,False,True,False,False,False,"Site ID NRS18_AZ_12037, Actual: 44%, Prediction: 58%"
381,7.636363636,32.81723975751609,-25.180876121516093,25.180876121516093,NRS18_WA_10018,2012791,47.573647,-123.58324,2018-07-02,1.121143354146543,-3.078398308418987,0.4985362303348251,-1.037103068750459,4.348194433998171,0.0,0.555682271065896,0.0,-1.402606071263442,3.078398308419006,-2.350851863807391,False,False,False,False,False,True,False,"Site ID NRS18_WA_10018, Actual: 7%, Prediction: 32%"
351,40.63636364,63.394203587074294,-22.757839947074295,22.757839947074295,NRS18_NV_10195,2012839,41.9889,-114.99595,2018-07-10,0.240976460122981,-1.050595673878948,1.106592056126499,0.05349676486919414,0.7765282294430422,0.0,0.8204554227034193,0.0,-0.8523425273988537,-1.140922476217076,-0.2062079066391466,False,False,False,True,False,False,False,"Site ID NRS18_NV_10195, Actual: 40%, Prediction: 63%"
778,8.846153846,38.334211595080326,-29.488057749080326,29.488057749080326,NRS18_NH_10031,2014038,43.91905,-71.537224,2019-07-11,2.154289423491031,-1.35688454581281,0.2222214212344725,-2.734711539030874,4.025664769179083,0.0,1.563924020550038,0.0,-1.409289086000716,1.676437926138089,-1.161158314751895,False,False,False,False,False,False,False,"Site ID NRS18_NH_10031, Actual: 8%, Prediction: 38%"
277,28.77358491,42.25416285704505,-13.480577947045052,13.480577947045052,NRS18_NH_10008,2013842,42.75674,-72.46335,2019-06-20,0.9722919912235113,-0.2476949396675029,-0.92724734348417,-0.9515778206955237,2.856397174080372,0.0,2.805379136032174,1.124062400496709,-0.5747263623078953,0.9034537583360885,-0.7118028160538875,False,False,False,False,False,False,False,"Site ID NRS18_NH_10008, Actual: 28%, Prediction: 42%"
667,41.09090909,59.45927419911221,-18.36836510911221,18.36836510911221,NRS18_MO_10812,2013574,39.31945,-94.633545,2018-09-23,0.1769835230795368,-0.8763251841768859,-0.5524425846467742,-0.534302657335064,0.0,2.996488815464287,2.367272048619966,3.088207315752395,1.910215275659163,-0.1796336741993697,0.1690404454145588,False,False,True,False,False,False,False,"Site ID NRS18_MO_10812, Actual: 41%, Prediction: 59%"
215,62.90909091,68.0364964951722,-5.127405585172198,5.127405585172198,NRS18_ND_10225,2012737,47.742645,-98.854385,2018-06-26,0.4460417093332896,0.8239119424966596,-0.03261020488065682,2.350851863807393,0.3738421555507458,3.384434324999459,0.8020485192545848,3.256249068249064,-0.6922916600205471,-1.635343271978294,2.103984344233875,False,False,True,False,False,False,False,"Site ID NRS18_ND_10225, Actual: 62%, Prediction: 68%"
465,78.54545455,70.80719979496536,7.738254755034646,7.738254755034646,NRS18_KY_10001,2012647,38.620144,-85.41853,2018-06-19,-0.522306684463349,0.7406643463406155,-0.8592211399357816,-1.099403530362693,1.238150613090207,1.885230570383493,3.674857393759823,2.895657655372745,0.1274684215108872,0.4216821652393423,-0.4794286512152795,False,False,True,False,False,False,False,"Site ID NRS18_KY_10001, Actual: 78%, Prediction: 70%"
86,69.27272727,71.35480755132835,-2.082080281328345,2.082080281328345,NRS18_NM_10511,2013614,36.87762,-103.87565,2019-04-29,-0.02739114264241498,-0.5986179557338602,1.046076976127966,0.1400029643023845,2.646568819511042,0.2967710676335485,1.012142362618978,0.2294659759098994,-0.9249243899588763,-2.241804884312258,0.0691765164156945,False,False,True,False,False,False,False,"Site ID NRS18_NM_10511, Actual: 69%, Prediction: 71%"
286,43.8,46.89011068651675,-3.090110686516752,3.090110686516752,NRS18_AR_10191,2012943,36.09646,-92.118225,2018-07-18,0.5282951678980847,0.1176467580236417,-1.121143354146544,-0.0273911426424147,2.918607097045161,0.0,2.345571070965317,1.392060410501127,0.4438083689383845,0.4518114967604242,-0.6048700440807377,False,True,False,False,False,False,False,"Site ID NRS18_AR_10191, Actual: 43%, Prediction: 46%"
